phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,8,2,140,20,78,1120,100,780,25,2,0.6525641025641026,2.281428337097168,6.715060710906982,0.10510976418154172,0.44429412897807197,0.4067078088038022,0.29661630091072677
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,8,3,140,20,78,1120,100,780,25,1,0.6666666666666666,2.505230665206909,7.639857292175293,0.09635289399924918,0.37010334513615817,0.3785280709583225,0.2821962051828835
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,8,4,140,20,78,1120,100,780,25,3,0.6474358974358975,2.4601078033447266,7.663985252380371,0.043044045087715976,0.4586192208498687,0.3658479708302502,0.2689316698642062
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,8,5,140,20,78,1120,100,780,70,50,0.6871794871794872,2.2114338874816895,6.155600070953369,0.1413547349321761,0.48255627110393107,0.49006942959695954,0.3588001857116832
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,8,6,140,20,78,1120,100,780,28,8,0.6974358974358974,2.399414300918579,7.043373107910156,0.11272392021677868,0.498474859748967,0.48172727891493256,0.34476356687007437
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,8,7,140,20,78,1120,100,780,25,1,0.6615384615384615,2.5194456577301025,7.746463775634766,-0.13158741852788425,0.38522041889154934,0.4759470737952816,0.3405088787415859
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,8,8,140,20,78,1120,100,780,26,6,0.6846153846153846,2.4458560943603516,7.383215427398682,0.0994489830608265,0.46991791093023494,0.4919115309051065,0.3485511284129589
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,8,9,140,20,78,1120,100,780,25,1,0.7217948717948718,2.4501583576202393,7.481301307678223,0.12132510937694752,0.5944933316786774,0.5816050374464864,0.41734857043951634
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,9,0,140,20,78,1260,100,780,28,8,0.617948717948718,2.491804361343384,7.821048259735107,0.020356411915392614,0.34360812915838324,0.3351655285055777,0.24211648426681998
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,9,1,140,20,78,1260,100,780,25,5,0.7076923076923077,2.0877559185028076,5.854915142059326,0.1828476736465775,0.524451829798636,0.5428791499099868,0.4001793615368813
